Folder,Filename,FullPath,IssueType,Details,Width,Height,MeanBrightness,StdDev,LaplacianVar
06.02\2015\K2\10X,06_02-2015_06_11-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_11-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_06_12-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_06_12-10_00-K2-10X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\10X,06_02-2015_12_19-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_12_19-10_00-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 11.90),1920,1080,122.88,8.03,11.90
06.02\2015\K2\10X,06_02-2015_12_20-09_21-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_12_20-09_21-K2-10X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 4.88),1920,1080,129.01,4.88,0.00
06.02\2015\K2\10X,06_02-2015_12_23-09_02-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_12_23-09_02-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 17.05),1920,1080,127.81,7.76,17.05
06.02\2015\K2\10X,06_02-2015_12_24-09_06-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_12_24-09_06-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 8.00),1920,1080,126.11,7.64,8.00
06.02\2015\K2\10X,06_02-2015_12_25-08_35-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\10X\06_02-2015_12_25-08_35-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 8.43),1920,1080,126.81,6.73,8.43
06.02\2015\K2\1X,06_02-2015_01_05-10_08-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_05-10_08-K2-1X.jpeg,BLURRED,Very blurry (Laplacian variance: 27.75),1920,1080,135.01,6.58,27.75
06.02\2015\K2\1X,06_02-2015_01_06-11_32-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_06-11_32-K2-1X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 2.78),1920,1080,144.39,2.78,0.00
06.02\2015\K2\1X,06_02-2015_01_23-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_23-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_01_24-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_24-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
06.02\2015\K2\1X,06_02-2015_01_27-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2015\K2\1X\06_02-2015_01_27-10_00-K2-1X.jpeg,TRUNCATED,JPEG missing standard EOI marker \xFF\xD9,0,0,0.00,0.00,0.00
